subj,session,cycle,task,trial,item,wf,type,source,colour,encoding,bias,null,response,corr,rt,points,total
108,001,1,source,3,DINER,LF,target,left,yellow,imageability,conservative,no,1,1,2.11969693304,-,-
108,001,1,source,4,SEEMED,HF,target,right,aqua,pleasantness,liberal,no,2,0,1.6131606906,-,-
108,001,1,source,5,UNBEATEN,LF,target,left,yellow,imageability,liberal,no,2,1,0.933352250272,-,-
108,001,1,source,6,PASSED,HF,target,right,aqua,pleasantness,liberal,no,8,1,1.47978747039,-,-
108,001,1,source,7,SMEARING,LF,target,right,aqua,pleasantness,liberal,no,2,0,1.03996643343,-,-
108,001,1,source,8,THOUSAND,HF,target,right,aqua,pleasantness,conservative,no,9,1,1.61293889315,-,-
108,001,1,source,9,AFOOT,LF,target,right,aqua,pleasantness,conservative,no,9,1,1.34650443558,-,-
108,001,1,source,10,NOSTRIL,LF,target,left,yellow,imageability,conservative,no,1,1,1.09330523655,-,-
108,001,1,source,11,HAUNCHES,LF,target,right,aqua,pleasantness,liberal,yes,1,0,0.559935169156,-,-
108,001,1,source,12,TOILED,LF,target,right,aqua,pleasantness,conservative,no,2,0,1.01337566915,-,-
108,001,1,source,13,SOVIET,HF,target,left,yellow,imageability,liberal,no,7,0,1.90630066055,-,-
108,001,1,source,14,AMONG,HF,target,left,yellow,imageability,conservative,no,2,1,1.67986123179,-,-
108,001,1,source,15,MEETING,HF,target,right,aqua,pleasantness,conservative,no,8,1,1.50654100833,-,-
108,001,1,source,16,CLASS,HF,target,left,yellow,imageability,conservative,yes,8,0,0.573463346964,-,-
108,001,1,source,17,UPSTART,LF,target,left,yellow,imageability,liberal,no,3,1,1.53284801852,-,-
108,001,1,source,18,NEEDED,HF,target,right,aqua,pleasantness,liberal,no,8,1,0.973407769289,-,-
108,001,1,source,19,ANOINTED,LF,target,left,yellow,imageability,liberal,no,3,1,1.42621917107,-,-
108,001,1,source,20,MYOPIC,LF,target,right,aqua,pleasantness,liberal,no,3,0,1.17323590376,-,-
108,001,1,source,21,FILAMENTS,LF,target,right,aqua,pleasantness,conservative,no,1,0,2.17262843539,-,-
108,001,1,source,22,MUTATIONS,LF,target,left,yellow,imageability,liberal,no,7,0,1.3996038441,-,-
108,001,1,source,23,MARKET,HF,target,left,yellow,imageability,conservative,no,7,0,0.866679937852,-,-
108,001,1,source,24,HOWEVER,HF,target,left,yellow,imageability,conservative,no,2,1,0.879803014539,-,-
108,001,1,source,25,GOBBLE,LF,target,left,yellow,imageability,conservative,no,8,0,0.800104776381,-,-
108,001,1,source,26,OBNOXIOUS,LF,target,right,aqua,pleasantness,conservative,no,8,1,0.773483217083,-,-
108,001,1,source,27,HEMMED,LF,target,left,yellow,imageability,liberal,no,2,1,0.800075081185,-,-
108,001,1,source,28,NUCLEAR,HF,target,right,aqua,pleasantness,liberal,no,2,0,0.826494273227,-,-
108,001,1,source,29,CHAIR,HF,target,right,aqua,pleasantness,conservative,no,8,1,0.53350424568,-,-
108,001,1,source,30,MEANS,HF,target,right,aqua,pleasantness,conservative,no,2,0,1.13304767289,-,-
108,001,1,source,31,NIGHT,HF,target,left,yellow,imageability,liberal,no,2,1,0.773387165957,-,-
108,001,1,source,32,FABLE,LF,target,left,yellow,imageability,conservative,no,2,1,1.14635845254,-,-
108,001,1,source,33,BETTER,HF,target,left,yellow,imageability,conservative,no,3,1,1.97304006212,-,-
108,001,1,source,34,HORDE,LF,target,right,aqua,pleasantness,conservative,no,3,0,0.693439634801,-,-
108,001,1,source,35,DIZZINESS,LF,target,left,yellow,imageability,liberal,no,3,1,0.760104248466,-,-
108,001,1,source,36,REPORT,HF,target,left,yellow,imageability,conservative,no,3,1,1.9060583331,-,-
108,001,1,source,37,TUSKS,LF,target,right,aqua,pleasantness,liberal,no,3,0,0.546866716965,-,-
108,001,1,source,38,BEYOND,HF,target,right,aqua,pleasantness,liberal,no,3,0,0.493316014802,-,-
108,001,1,source,39,RIGGING,LF,target,left,yellow,imageability,conservative,no,7,0,0.813454416409,-,-
108,001,1,source,40,MILES,HF,target,left,yellow,imageability,liberal,no,7,0,0.826790858572,-,-
108,001,1,source,41,LIVED,HF,target,right,aqua,pleasantness,conservative,no,9,1,0.959777308031,-,-
108,001,1,source,42,BOVINE,LF,target,right,aqua,pleasantness,conservative,no,2,0,0.760059522369,-,-
108,001,1,source,43,SITTING,HF,target,right,aqua,pleasantness,liberal,no,9,1,0.75990591389,-,-
108,001,1,source,44,ICEBOX,LF,target,right,aqua,pleasantness,liberal,yes,9,1,0.520477586726,-,-
108,001,1,source,45,ROUND,HF,target,right,aqua,pleasantness,conservative,no,9,1,0.946682826719,-,-
108,001,1,source,46,ABOVE,HF,target,left,yellow,imageability,liberal,no,1,1,1.19968075832,-,-
108,001,1,source,47,TODAY,HF,target,left,yellow,imageability,liberal,no,1,1,0.986402900011,-,-
108,001,1,recog,0,ANOINTED,LF,target,left,yellow,imageability,liberal,no,z,1,1.26658806605,3,155
108,001,1,recog,1,SOVIET,HF,target,left,yellow,imageability,liberal,no,z,1,1.06661255542,3,158
108,001,1,recog,2,ITSELF,HF,lure,-,-,-,liberal,no,m,1,1.39985020424,1,159
108,001,1,recog,3,BEECHES,LF,lure,-,-,-,liberal,no,m,1,0.853364758915,1,160
108,001,1,recog,4,SACRAMENT,LF,lure,-,-,-,conservative,no,m,1,0.773434458304,3,163
108,001,1,recog,5,FRONT,HF,lure,-,-,-,conservative,no,m,1,1.13326873712,3,166
108,001,1,recog,6,AFOOT,LF,target,right,aqua,pleasantness,conservative,no,z,1,0.493305749796,1,167
108,001,1,recog,7,THEORY,HF,lure,-,-,-,conservative,no,m,1,0.626821213661,3,170
108,001,1,recog,8,UNBEATEN,LF,target,left,yellow,imageability,liberal,no,m,0,1.14667446807,-3,167
108,001,1,recog,9,METABOLIC,LF,lure,-,-,-,conservative,no,m,1,2.01267434929,3,170
108,001,1,recog,10,ABOVE,HF,target,left,yellow,imageability,liberal,no,m,0,0.706555012732,-3,167
108,001,1,recog,11,ACQUIRES,LF,lure,-,-,-,conservative,no,m,1,0.746779904345,3,170
108,001,1,recog,12,FUSELAGE,LF,target,left,yellow,imageability,conservative,no,m,0,0.840003387451,-1,169
108,001,1,recog,13,CLASS,HF,target,left,yellow,imageability,conservative,no,z,1,0.573251081309,1,170
108,001,1,recog,14,DINER,LF,target,left,yellow,imageability,conservative,yes,z,1,0.599903435624,1,171
